Case 0: 50 50 4 | 50 46
Case 1: 50 50 4 | 49 47
Case 2: 50 50 4 | 47 49
Case 3: 50 50 4 | 49 47
Case 4: 50 50 4 | 47 49
Case 5: 50 50 4 | 49 47
Case 6: 50 50 4 | 49 47
Case 7: 50 50 4 | 47 49
Case 8: 50 50 4 | 49 47
Case 9: 50 50 4 | 47 49
Case 10: 50 50 4 | 47 49
Case 11: 50 50 4 | 49 47
Case 12: 50 50 4 | 47 49
Case 13: 50 50 4 | 48 48
Case 14: 50 50 4 | 48 48
Case 15: 50 50 4 | 48 48
Case 16: 50 50 4 | 48 48
Case 17: 50 50 4 | 48 48
Case 18: 50 50 4 | 50 46
Case 19: 50 50 4 | 48 48
Case 20: 50 50 4 | 48 48
Case 21: 50 50 4 | 50 46
Case 22: 50 50 4 | 47 49
Case 23: 50 50 4 | 47 49
Case 24: 50 50 4 | 49 47
Case 25: 50 50 4 | 48 48
Case 26: 50 50 4 | 48 48
Case 27: 50 50 4 | 47 49
Case 28: 50 50 4 | 48 48
Case 29: 50 50 4 | 46 50
Case 30: 50 50 4 | 47 49
Case 31: 50 50 4 | 49 47
Case 32: 50 50 4 | 49 47
Case 33: 50 50 4 | 48 48
Case 34: 50 50 4 | 49 47
Case 35: 50 50 4 | 47 49
Case 36: 50 50 4 | 49 47
Case 37: 50 50 4 | 49 47
Case 38: 50 50 4 | 50 46
Case 39: 50 50 4 | 48 48
Case 40: 50 50 4 | 49 47
Case 41: 50 50 4 | 47 49
Case 42: 50 50 4 | 48 48
Case 43: 50 50 4 | 47 49
Case 44: 50 50 4 | 47 49
Case 45: 50 50 4 | 47 49
Case 46: 50 50 4 | 47 49
Case 47: 50 50 4 | 49 47
Case 48: 50 50 4 | 48 48
Case 49: 50 50 4 | 47 49
